% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              325
% Expressions:        12
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=67               r (mm) @ t=67            z (mm) @ t=67            dom @ t=77               r (mm) @ t=77            z (mm) @ t=77            dom @ t=87               r (mm) @ t=87            z (mm) @ t=87            dom @ t=97               r (mm) @ t=97            z (mm) @ t=97
0                         0.4786395375577122       1                        0                        0.4786395375577122       1                        0                        0.5100509048224661       1                        0                        0.5368985034575587       1                        0                        0.5600987265075943
0                         0.49416780672985705      1                        0                        0.49416780672985705      1                        0                        0.5265525454775939       1                        0                        0.5543592539460295       1                        0                        0.5784794780591441
0                         0.5082662349901552       1                        0                        0.5082662349901552       1                        0                        0.541531201859681        1                        0                        0.570211754763919        1                        0                        0.5951742552515799
0                         0.5210668056963907       1                        0                        0.5210668056963907       1                        0                        0.5551279803953835       1                        0                        0.5846042565621161       1                        0                        0.6103370921161066
0                         0.5326892035011302       1                        0                        0.5326892035011302       1                        0                        0.5674707714422509       1                        0                        0.5976713039424562       1                        0                        0.6241080693463414
0                         0.5432421027570082       1                        0                        0.5432421027570082       1                        0                        0.5786756373922706       1                        0                        0.6095351350838905       1                        0                        0.6366146802877829
0                         0.5528240496784781       1                        0                        0.5528240496784781       1                        0                        0.5888477689729762       1                        0                        0.6203066415937845       1                        0                        0.647972758559607
0                         0.5615245026377516       1                        0                        0.5615245026377516       1                        0                        0.5980826054344167       1                        0                        0.6300865130131621       1                        0                        0.6582876185478106
0.049262889565487314      0                        2                        0.049262889565487314     0                        2                        0.04721959448544054      0                        2                        0.04537276152451704      0                        2                        0.04366613427581063      0
0                         0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0
0.09384664004479375       0                        2                        0.09384664004479375      0                        2                        0.08993100476158047      0                        2                        0.0863861857793023       0                        2                        0.08310940560943603      0
0.13419094269825524       0                        2                        0.13419094269825524      0                        2                        0.12854367520405433      0                        2                        0.12341986689745155      0                        2                        0.11868181209121056      0
0.17069497085597152       0                        2                        0.17069497085597152      0                        2                        0.16343422394417745      0                        2                        0.15682925902840095      0                        2                        0.1507193508869717       0
0.20372115297473653       0                        2                        0.20372115297473653      0                        2                        0.1949486993097453       0                        2                        0.1869463498564523       0                        2                        0.17954170167451755      0
0.23359808486832861       0                        2                        0.23359808486832861      0                        2                        0.22340303790247806      0                        2                        0.21407708771555056      0                        2                        0.20544637436394947      0
0.2606235930484435        0                        2                        0.2606235930484435       0                        2                        0.2490851415020075       0                        2                        0.23850228887213798      0                        2                        0.2287084938195987       0
0.28506588224414436       0                        2                        0.28506588224414436      0                        2                        0.2722553156567965       0                        2                        0.2604771948236812       0                        2                        0.2495794511803022       0
0.3071702743403011        0                        2                        0.3071702743403011       0                        2                        0.29315226679853834      0                        2                        0.28023662461471965      0                        2                        0.26829121331973355      0
0.3271588513941026        0                        2                        0.3271588513941026       0                        2                        0.3119925223620959       0                        2                        0.297994091033489        0                        2                        0.2850551258863503       0
0.34523197492431185       0                        2                        0.34523197492431185      0                        2                        0.3289717122619697       0                        2                        0.31394279013633775      0                        2                        0.3000626058544699       0
0.3615703592031742        0                        2                        0.3615703592031742       0                        2                        0.34426653909309435      0                        2                        0.32825745987166605      0                        2                        0.3134869183443732       0
0.3763368929228536        0                        2                        0.3763368929228536       0                        2                        0.35803641397327346      0                        2                        0.34109579630729814      0                        2                        0.3254843678067553       0
0.38968224532645335       0                        2                        0.38968224532645335      0                        2                        0.37042873343639116      0                        2                        0.3526034288769359       0                        2                        0.33619902686861153      0
0.4017409199651615        0                        2                        0.4017409199651615       0                        2                        0.38157520436609954      0                        2                        0.3629104990316279       0                        2                        0.34575955617977944      0
0.4126317145085422        0                        2                        0.4126317145085422       0                        2                        0.3915923537133766       0                        2                        0.37213221621817766      0                        2                        0.3542798100875625       0
0.4224675026583479        0                        2                        0.4224675026583479       0                        2                        0.40059061898090464      0                        2                        0.38037734032423776      0                        2                        0.3618668101914468       0
0.43134716160363284       0                        2                        0.43134716160363284      0                        2                        0.4086669140227415       0                        2                        0.38774134088592266      0                        2                        0.3686144350035438       0
0.4393590784138763        0                        2                        0.4393590784138763       0                        2                        0.41590796213559794      0                        2                        0.3943095898289063       0                        2                        0.37460650351579267      0
0.4465871771238114        0                        2                        0.4465871771238114       0                        2                        0.4223957816276115       0                        2                        0.4001624010905626       0                        2                        0.37992144788786403      0
0.4531014276131117        0                        2                        0.4531014276131117       0                        2                        0.42819918645684507      0                        2                        0.40536741288102285      0                        2                        0.38462545644460505      0
0.4589714806270045        0                        2                        0.4589714806270045       0                        2                        0.4333860633888466       0                        2                        0.4099907350232301       0                        2                        0.38878267765030866      0
0.4642536977084134        0                        2                        0.4642536977084134       0                        2                        0.4380118529888352       0                        2                        0.4140866720140993       0                        2                        0.39244598542338505      0
0.48626463261935193       0                        2                        0.48626463261935193      0                        2                        0.4565752801120171       0                        2                        0.4301010047566597       0                        2                        0.4064780481327268       0
0.48356032734438753       0                        2                        0.48356032734438753      0                        2                        0.4543927543722843       0                        2                        0.4282740047251451       0                        2                        0.40491511731887747      0
0.4805128360758947        0                        2                        0.4805128360758947       0                        2                        0.4518865625870876       0                        2                        0.4261497103810226       0                        2                        0.4030797588039796       0
0.4690049169534326        0                        2                        0.4690049169534326       0                        2                        0.4421317530325362       0                        2                        0.41770867123837574      0                        2                        0.39566690006282207      0
0.4732695612161834        0                        2                        0.4732695612161834       0                        2                        0.4457894923314319       0                        2                        0.42089947758528873      0                        2                        0.39848688470843974      0
0.4770935327058548        0                        2                        0.4770935327058548       0                        2                        0.44902939157599975      0                        2                        0.42370178606820696      0                        2                        0.4009468729966052       0
0.4886448345706038        0                        2                        0.4886448345706038       0                        2                        0.4584526674995155       0                        2                        0.4316486858926399       0                        2                        0.4077854104249166       0
0.49071267897754683       0                        2                        0.49071267897754683      0                        2                        0.46003426249357765      0                        2                        0.4329242473626219       0                        2                        0.40884281015817364      0
0.49245415911585777       0                        2                        0.49245415911585777      0                        2                        0.461298659405524        0                        2                        0.43390672972702776      0                        2                        0.4096342351918625       0
0.49371486373061974       0                        2                        0.49371486373061974      0                        2                        0.4621290420627996       0                        2                        0.4345148035682372       0                        2                        0.4100996047803872       0
0                         0.5615245026377516       3                        0                        0.5615245026377516       3                        0                        0.5980826054344167       3                        0                        0.6300865130131621       3                        0                        0.6582876185478106
0                         0.569857315559766        3                        0                        0.569857315559766        3                        0                        0.6058383504456802       3                        0                        0.6373770868050936       3                        0                        0.6651975984104915
0                         0.5789585650727207       3                        0                        0.5789585650727207       3                        0                        0.6143152490452621       3                        0                        0.6453497367665719       3                        0                        0.6727566973779782
