% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              366
% Expressions:        24
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=157              r (mm) @ t=157           z (mm) @ t=157           dom @ t=167              r (mm) @ t=167           z (mm) @ t=167           dom @ t=177              r (mm) @ t=177           z (mm) @ t=177           dom @ t=187              r (mm) @ t=187           z (mm) @ t=187           dom @ t=197              r (mm) @ t=197           z (mm) @ t=197           dom @ t=207              r (mm) @ t=207           z (mm) @ t=207           dom @ t=217              r (mm) @ t=217           z (mm) @ t=217           dom @ t=227              r (mm) @ t=227           z (mm) @ t=227
0.23173571385335653       1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996       5                        0.23173571385335653      1.2499999999999996
0.2895430843531696        1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996       5                        0.2895430843531696       1.2499999999999996
0.34696600686929807       1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993       5                        0.34696600686929807      1.2499999999999993
0.40554160852532917       1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002       5                        0.40554160852532917      1.2500000000000002
0.4655071849992603        1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002       5                        0.4655071849992603       1.2500000000000002
0.5272478531970329        1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25                     5                        0.5272478531970329       1.25
0.5910220995094259        1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25                     5                        0.5910220995094259       1.25
0.6569642072851755        1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993       5                        0.6569642072851755       1.2499999999999993
0.7253190052436004        1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993       5                        0.7253190052436004       1.2499999999999993
0.7963592134094905        1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004       5                        0.7963592134094905       1.2500000000000004
0.8704380013581907        1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002       5                        0.8704380013581907       1.2500000000000002
0.9476584870691149        1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25                     5                        0.9476584870691149       1.25
1.0280345797989263        1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002       5                        1.0280345797989263       1.2500000000000002
1.1117144734476114        1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002       5                        1.1117144734476114       1.2500000000000002
1.199035872279256         1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996       5                        1.199035872279256        1.2499999999999996
1.2934195152270995        1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996       5                        1.2934195152270995       1.2499999999999996
1.390349596022583         1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996       5                        1.390349596022583        1.2499999999999996
1.4872796768180658        1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002       5                        1.4872796768180658       1.2500000000000002
1.5842097576135494        1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996       5                        1.5842097576135494       1.2499999999999996
