% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              399
% Expressions:        27
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=287              r (mm) @ t=287           z (mm) @ t=287           dom @ t=297              r (mm) @ t=297           z (mm) @ t=297           dom @ t=307              r (mm) @ t=307           z (mm) @ t=307           dom @ t=317              r (mm) @ t=317           z (mm) @ t=317           dom @ t=327              r (mm) @ t=327           z (mm) @ t=327           dom @ t=337              r (mm) @ t=337           z (mm) @ t=337           dom @ t=347              r (mm) @ t=347           z (mm) @ t=347           dom @ t=357              r (mm) @ t=357           z (mm) @ t=357           dom @ t=367              r (mm) @ t=367           z (mm) @ t=367
0                         0.24175776100078167      1                        0                        0.24175776100078167      1                        0                        0.24378790078160545      1                        0                        0.24571174062647408      1                        0                        0.24750382830963497      1                        0                        0.24915031553374947      1                        0                        0.2506465521432561       1                        0                        0.25199469708581296      1                        0                        0.2532012751239656       1                        0                        0.2542752879399708
0                         0.21116244033547055      1                        0                        0.21116244033547055      1                        0                        0.21300598567361728      1                        0                        0.2147585466947286       1                        0                        0.21639108834157555      1                        0                        0.21788682274986587      1                        0                        0.2192389970006721       1                        0                        0.22044846017243735      1                        0                        0.2215210135467035       1                        0                        0.22246530199145964
0                         0.1834504645583556       1                        0                        0.1834504645583556       1                        0                        0.18511340551728853      1                        0                        0.18670006943430859      1                        0                        0.18817856746308362      1                        0                        0.18952950793127918      1                        0                        0.1907441759366476       1                        0                        0.19182216252478562      1                        0                        0.1927685562078627       1                        0                        0.19359163329519447
0                         0.1574284842318523       1                        0                        0.1574284842318523       1                        0                        0.15890912788875572      1                        0                        0.1603278306336013       1                        0                        0.16165073945614897      1                        0                        0.1628562844521659       1                        0                        0.1639339648108478       1                        0                        0.16488216850769033      1                        0                        0.1657052679024367       1                        0                        0.16641113470722654
0                         0.12918128492113257      1                        0                        0.12918128492113257      1                        0                        0.13044676686450643      1                        0                        0.13166596738471578      1                        0                        0.13280428666398553      1                        0                        0.13383849638524728      1                        0                        0.13475645631156083      1                        0                        0.1355553306149793       1                        0                        0.13623868302269698      1                        0                        0.1368138481390839
0                         0.09966780382211671      1                        0                        0.09966780382211671      1                        0                        0.10068528697062622      1                        0                        0.1016719711989115       1                        0                        0.10259494431968738      1                        0                        0.1034308138235181       1                        0                        0.10416657049878379      1                        0                        0.10479843741941267      1                        0                        0.10532914868201812      1                        0                        0.10576529248468199
0                         0.07099999747345294      1                        0                        0.07099999747345294      1                        0                        0.07175113903809446      1                        0                        0.0724843114527183       1                        0                        0.07317163891994664      1                        0                        0.07379218703021122      1                        0                        0.07433372763439326      1                        0                        0.07479229172239177      1                        0                        0.07516987549558378      1                        0                        0.075471998435993
0                         0.04496385671041715      1                        0                        0.04496385671041715      1                        0                        0.04545172341213284      1                        0                        0.04593038580123932      1                        0                        0.046379949887853475     1                        0                        0.04678481342858401      1                        0                        0.0471355607608653       1                        0                        0.047428985013564594     1                        0                        0.04766643845615847      1                        0                        0.047851942449240945
0                         0.021373638049336004     1                        0                        0.021373638049336004     1                        0                        0.021608877986588133     1                        0                        0.02184040516053545      1                        0                        0.02205810976396405      1                        0                        0.022253849685471578     1                        0                        0.022422624673176076     1                        0                        0.02256270422152706      1                        0                        0.022674778562673522     1                        0                        0.02276094151820437
0                         0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0                        1                        0                        0
