% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              396
% Expressions:        72
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=377              r (mm) @ t=377           z (mm) @ t=377           dom @ t=387              r (mm) @ t=387           z (mm) @ t=387           dom @ t=397              r (mm) @ t=397           z (mm) @ t=397           dom @ t=407              r (mm) @ t=407           z (mm) @ t=407           dom @ t=417              r (mm) @ t=417           z (mm) @ t=417           dom @ t=427              r (mm) @ t=427           z (mm) @ t=427           dom @ t=437              r (mm) @ t=437           z (mm) @ t=437           dom @ t=447              r (mm) @ t=447           z (mm) @ t=447           dom @ t=457              r (mm) @ t=457           z (mm) @ t=457           dom @ t=467              r (mm) @ t=467           z (mm) @ t=467           dom @ t=477              r (mm) @ t=477           z (mm) @ t=477           dom @ t=487              r (mm) @ t=487           z (mm) @ t=487           dom @ t=497              r (mm) @ t=497           z (mm) @ t=497           dom @ t=507              r (mm) @ t=507           z (mm) @ t=507           dom @ t=517              r (mm) @ t=517           z (mm) @ t=517           dom @ t=527              r (mm) @ t=527           z (mm) @ t=527           dom @ t=537              r (mm) @ t=537           z (mm) @ t=537           dom @ t=547              r (mm) @ t=547           z (mm) @ t=547           dom @ t=557              r (mm) @ t=557           z (mm) @ t=557           dom @ t=567              r (mm) @ t=567           z (mm) @ t=567           dom @ t=577              r (mm) @ t=577           z (mm) @ t=577           dom @ t=587              r (mm) @ t=587           z (mm) @ t=587           dom @ t=597              r (mm) @ t=597           z (mm) @ t=597           dom @ t=607              r (mm) @ t=607           z (mm) @ t=607
0.5914384959354494        1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002       5                        0.5914384959354494       1.2500000000000002
0.5385987396442257        1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002       5                        0.5385987396442257       1.2500000000000002
0.48772180501563406       1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004       5                        0.48772180501563406      1.2500000000000004
0.43871499631691063       1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004       5                        0.43871499631691063      1.2500000000000004
0.3914121288090175        1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009       5                        0.3914121288090175       1.2500000000000009
0.3455112404708371        1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996       5                        0.3455112404708371       1.2499999999999996
0.3008776220886686        1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991       5                        0.3008776220886686       1.2499999999999991
0.25736599726044385       1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996       5                        0.25736599726044385      1.2499999999999996
0.2146678252026388        1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996       5                        0.2146678252026388       1.2499999999999996
0.17192225645382117       1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002       5                        0.17192225645382117      1.2500000000000002
0.1270993679407269        1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002       5                        0.1270993679407269       1.2500000000000002
0.08303085396694056       1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002       5                        0.08303085396694056      1.2500000000000002
0.04079711545042414       1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002       5                        0.04079711545042414      1.2500000000000002
0                         1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25                     5                        0                        1.25
0.35684501207591096       0.0796349699920888       6                        0.35684501207591096      0.0796349699920888       6                        0.3548880537545366       0.08007586651106709      6                        0.3535733882699273       0.08036337919903683      6                        0.3522968526810775       0.08063718239236027      6                        0.3510575197164839       0.08089854310880536      6                        0.3498543080064538       0.08114848051303464      6                        0.3486860600013051       0.08138784382264676      6                        0.34755158299927635      0.08161735541908595      6                        0.34644968369442875      0.08183763968631766      6                        0.3453791705373912       0.08204924366931655      6                        0.3443388915080781       0.08225265301193939      6                        0.3433277121531503       0.0824483031853024       6                        0.3423445392842911       0.08263658867644934      6                        0.34138815361090824      0.08281790117295844      6                        0.3404580390127162       0.0829924780169622       6                        0.3395527263665754       0.08316071997198411      6                        0.3386714507727928       0.08332288076117432      6                        0.3378133209673853       0.0834792265953557       6                        0.3369774849227029       0.08363000688648328      6                        0.33616312656798286      0.08377545593698316      6                        0.335369468592547        0.08391579462245743      6                        0.3345957623858282       0.0840512315115562       6                        0.33384130536440715      0.0841819632500894       6                        0.33310540913415154      0.08430817723898423
0.3502758944975609        0.07443900259055773      6                        0.3502758944975609       0.07443900259055773      6                        0.34829441734743394      0.0748728049976139       6                        0.3469627276416095       0.07515554384215442      6                        0.3456693168113722       0.07542473243412497      6                        0.34441331789276347      0.07568164966010725      6                        0.343193690378716        0.07592732124604899      6                        0.34200930448322464      0.07616259926984525      6                        0.3408589858306503       0.0763882062794836       6                        0.3397415523779529       0.07660476482052812      6                        0.33865581872774175      0.07681281868339009      6                        0.337600634959248        0.07701284917160256      6                        0.336574866018678        0.07720528675456378      6                        0.3355774159823457       0.07739052044156296      6                        0.3346070588873993       0.07756893567415969      6                        0.33366328056139455      0.07774076538823177      6                        0.3327445985345009       0.07790640295174243      6                        0.3318502437492521       0.07806609671069502      6                        0.33097931803740244      0.07822010710654113      6                        0.3301309622780283       0.0783686779190847       6                        0.32930435324589163      0.07851203798967614      6                        0.32849870642690543      0.07865040290029479      6                        0.3277132661028599       0.07878397613420479      6                        0.326947322654581        0.07891294942594053      6                        0.3262001807719919       0.07903750548214312
